Year Read,Title,Author,Release,Pages,Avg Rating,My Rating,Genre,School?
2023,Dune,Frank Herbert,1965,658,4.28,5,SciFi,0
2023,Dune Messiah,Frank Herbert,1969,336,3.89,4,SciFi,0
2023,Slaughterhouse Five,Kurt Vonnegut,1969,275,4.1,5,Fiction,0
2023,The Hobbit,J.R.R. Tolkein,1937,366,4.29,5,Fantasy,0
2023,Crime and Punishment,Fyodor Dostoyevsky,1866,671,4.28,4,Classic,0
2023,The Ten Equations that Rule the World,,2021,248,3.65,4,Nonfiction,0
2023,Hear the Wind Sing,Haruki Murakami,1979,130,3.57,3,Fiction,0
2023,Frankenstein,Mary Shelley,1818,260,3.89,5,Classic,0
2023,The da Vinci Code,Dan Brown,2003,489,3.93,4,Fiction,0
2024,Flowers for Algernon,Daniel Keyes,1958,311,4.23,5,Fiction,0
2024,Fellowship of the Ring,J.R.R. Tolkein,1954,432,4.4,5,Fantasy,0
2024,The Two Towers,J.R.R. Tolkein,1954,448,4.5,5,Fantasy,0
2024,Return of the King,J.R.R. Tolkein,1955,432,4.58,5,Fantasy,0
2024,The Most Dangerous Game,Richard Connell,1924,27,3.95,3,Classic,0
2024,Dr. Jekyll & Mr. Hyde,Robert Louis Stevenson,1886,139,3.83,2,Classic,0
2024,The Metamorphosis,Franz Kafka,1915,201,3.89,3,Classic,0
2024,Death on the Nile,Agatha Christie,1937,352,4.12,5,Mystery,0
2024,Pinball 1973,Haruki Murakami,1980,215,3.51,2,Fiction,0
2024,Hallowe'en Party,Agatha Christie,1969,336,3.57,4,Mystery,0
2024,Murder on the Orient Express,Agatha Christie,1934,274,4.2,5,Mystery,0
2024,Once Upon a Prime,Sarah Hart,2023,286,3.89,3,Nonfiction,0
2024,And Then There were None,Agatha Christie,1939,264,4.28,5,Mystery,0
2024,Moneyball,Michael Lewis,2003,317,4.27,3,Nonfiction,0
2024,Flash Boys,Michael Lewis,2014,304,4.14,4,Nonfiction,0
2024,Cat's Cradle,Kurt Vonnegut,1963,306,4.15,4,Fiction,0
2024,Breakfast of Champions,Kurt Vonnegut,1973,303,4.06,3,Fiction,0
2024,The Great Gatsby,F. Scott Fitzgerald,1925,180,3.93,3,Classic,0
2024,Animal Farm,George Orwell,1945,141,4,4,Classic,0
2025,One Flew Over the Cuckoo's Nest,Ken Kesey,1963,325,4.2,3,Fiction,0
2025,Brave New World,Aldous Huxley,1932,268,3.99,5,SciFi,0
2025,Hello Beautiful,Ann Napolitano,2023,416,4.14,5,Fiction,0
2025,Where the Crawdads Sing,Delia Owens,2018,384,4.38,4,Fiction,0
2025,American Gods,Neil Gaiman,2001,635,4.1,4,Fantasy,0
2025,Anansi Boys,Neil Gaiman,2006,387,4.04,4,Fantasy,0
2025,The Martian,Andy Weir,2014,369,4.42,5,SciFi,0
2025,The Power Broker: Robert Moses & the Fall of New York,Robert Caro,1974,1246,4.52,4,Nonfiction,0
2025,Children of Dune,Frank Herbert,1976,609,3.96,3,SciFi,0
2025,The Song of Achilles,Madeline Miller,2011,416,4.31,4,Fantasy,0
2025,Circe,Madeline Miller,2018,393,4.22,4,Fantasy,0
2025,The Midnight Library,Matt Haig,2020,288,3.98,4,Fiction,0
2025,Carrie,Stephen King,1974,272,3.99,3,Fiction,0
2025,On Earth We're Briefly Gorgeous,Ocean Vuong,2019,246,4,3,Fiction,0
2026,Mythos,Stephen Fry,2017,416,4.25,4,Fantasy,0
2026,"I, Robot",Isaac Asimov,1950,224,4.21,4,SciFi,0
2026,Project Hail Mary,Andy Weir,2021,476,4.51,5,SciFi,0
2026,Everything is Tuberculosis,Hank Green,2025,198,4.33,5,Nonfiction,0
2026,Invisible Women,Caroline Criado Perez,2019,448,4.33,4,Nonfiction,0
2022,Math Without Numbers,Milo Beckman,2021,224,4.1,5,Nonfiction,0
2020,Humble Pi,Matt Parker,2019,314,4.1,4,Nonfiction,0
2016,Their Eyes Were Watching God,Zora Neale Hurston,1937,238,3.99,4,Fiction,1
2016,Ender's Game,Orson Scott Card,1985,324,4.31,4,SciFi,1
2014,The Fault in Our Stars,John Green,2012,313,4.12,4,Fiction,0
2016,A Raisin in the Sun,Lorraine Hansberry,1959,162,3.85,3,Play,1
2016,The Crucible,Arthur Miller,1953,143,3.61,3,Fiction,1
2019,Our Mathematical Universe,Max Tegmark,2012,432,4.18,5,Nonfiction,0
2015,The Odyssey,Homer,801,541,3.84,4,Fantasy,1
2016,The Adventures of Huckleberry Finn,Mark Twain,1885,327,3.83,4,Fiction,1
2015,Of Mice and Men,John Steinbeck,1937,107,3.9,3,Fiction,1
2014,The Catcher in the Rye,J.D. Salinger,1951,277,3.8,3,Fiction,1
2014,To Kill a Mockingbird,Harper Lee,1960,323,4.26,4,Fiction,1
2014,The Outsiders,S.E. Hinton,1967,208,4.15,4,Fiction,1
2013,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,216,4.22,5,SciFi,0
2013,The Restaurant at the End of the Universe,Douglas Adams,1980,250,4.19,4,SciFi,0
2012,The Giver,Lois Lowry,1993,208,4.12,4,SciFi,1
2016,Fahrenheit 451,Ray Bradbury,1953,249,3.97,4,SciFi,1
2017,1984,George Orwell,1948,368,4.2,4,Classic,1
2017,Macbeth,William Shakespeare,1623,249,3.89,4,Play,1
2015,Romeo and Juliet,William Shakespeare,1590,281,3.74,3,Play,1
2020,How to Win Friends and Influence People,Dale Carnegie,1936,288,4.21,5,Nonfiction,0
2011,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1976,288,3.9,1,Fiction,1
